Price,Quantity,Type,Timestamp
37956000,0.0003,1,2022.5.22 0:38
37930000,0.008,0,2022.5.22 0:38
37929000,0.4003,0,2022.5.22 0:38
37927000,0.1594,0,2022.5.22 0:38
37926000,0.03,0,2022.5.22 0:38
37925000,0.1594,0,2022.5.22 0:38
37949000,0.2396,1,2022.5.22 0:38
37953000,0.0003,1,2022.5.22 0:38
37954000,0.0003,1,2022.5.22 0:38
37955000,0.0721,1,2022.5.22 0:38
37956000,0.0003,1,2022.5.22 0:38
37863000,0.0309,0,2022.5.22 0:38
37861000,0.0306,0,2022.5.22 0:38
37859000,0.0485,0,2022.5.22 0:38
37857000,0.0571,0,2022.5.22 0:38
37855000,0.0003,0,2022.5.22 0:38
37871000,0.0086,1,2022.5.22 0:38
37872000,0.0478,1,2022.5.22 0:38
37880000,0.5531,1,2022.5.22 0:38
37881000,0.5178,1,2022.5.22 0:38
37882000,0.1642,1,2022.5.22 0:38
37931000,0.0835,0,2022.5.22 0:38
37929000,0.3979,0,2022.5.22 0:38
37927000,0.1603,0,2022.5.22 0:38
37926000,0.093,0,2022.5.22 0:38
37924000,0.074,0,2022.5.22 0:38
37949000,0.2366,1,2022.5.22 0:38
37951000,0.0003,1,2022.5.22 0:38
37952000,0.0003,1,2022.5.22 0:38
37953000,0.0003,1,2022.5.22 0:38
37954000,0.0003,1,2022.5.22 0:38
37934000,0.1611,0,2022.5.22 0:38
37933000,0.0323,0,2022.5.22 0:38
37931000,0.0835,0,2022.5.22 0:38
37929000,0.3979,0,2022.5.22 0:38
37928000,1.8756,0,2022.5.22 0:38
37949000,0.0815,1,2022.5.22 0:38
37951000,0.0003,1,2022.5.22 0:38
37952000,0.0003,1,2022.5.22 0:38
37953000,0.0003,1,2022.5.22 0:38
37954000,0.0003,1,2022.5.22 0:38
37933000,0.0323,0,2022.5.22 0:38
37931000,0.0835,0,2022.5.22 0:38
37930000,0.1621,0,2022.5.22 0:38
37929000,0.3979,0,2022.5.22 0:38
37928000,1.8756,0,2022.5.22 0:38
37949000,0.0317,1,2022.5.22 0:38
37951000,0.0003,1,2022.5.22 0:38
37952000,0.0003,1,2022.5.22 0:38
37953000,0.0003,1,2022.5.22 0:38
37954000,0.0003,1,2022.5.22 0:38
37933000,0.0306,0,2022.5.22 0:38
37929000,0.3979,0,2022.5.22 0:38
37928000,1.8756,0,2022.5.22 0:38
37926000,0.03,0,2022.5.22 0:38
37924000,0.074,0,2022.5.22 0:38
37949000,0.0317,1,2022.5.22 0:38
37951000,0.0003,1,2022.5.22 0:38
37952000,0.0003,1,2022.5.22 0:38
37953000,0.0003,1,2022.5.22 0:38
37954000,0.1293,1,2022.5.22 0:38
37929000,0.3979,0,2022.5.22 0:39
37926000,0.093,0,2022.5.22 0:39
37924000,0.074,0,2022.5.22 0:39
37922000,0.7621,0,2022.5.22 0:39
37921000,1.8739,0,2022.5.22 0:39
37949000,0.0317,1,2022.5.22 0:39
37951000,0.0003,1,2022.5.22 0:39
37952000,0.0576,1,2022.5.22 0:39
37953000,0.0003,1,2022.5.22 0:39
37954000,0.1293,1,2022.5.22 0:39
37863000,0.0309,0,2022.5.22 0:39
37861000,0.0306,0,2022.5.22 0:39
37859000,0.0485,0,2022.5.22 0:39
37857000,0.0571,0,2022.5.22 0:39
37855000,0.0003,0,2022.5.22 0:39
37871000,0.0086,1,2022.5.22 0:39
37872000,0.0478,1,2022.5.22 0:39
37880000,0.5531,1,2022.5.22 0:39
37881000,0.5178,1,2022.5.22 0:39
37882000,0.1642,1,2022.5.22 0:39
37863000,0.0309,0,2022.5.22 0:39
37861000,0.0306,0,2022.5.22 0:39
37859000,0.0485,0,2022.5.22 0:39
37857000,0.0571,0,2022.5.22 0:39
37855000,0.0003,0,2022.5.22 0:39
37871000,0.0086,1,2022.5.22 0:39
37872000,0.0478,1,2022.5.22 0:39
37880000,0.5531,1,2022.5.22 0:39
37881000,0.5178,1,2022.5.22 0:39
37882000,0.1642,1,2022.5.22 0:39
37935000,0.0541,0,2022.5.22 0:39
37933000,0.0309,0,2022.5.22 0:39
37931000,0.084,0,2022.5.22 0:39
37929000,0.3979,0,2022.5.22 0:39
37927000,2.0372,0,2022.5.22 0:39
37949000,0.0827,1,2022.5.22 0:39
37951000,0.3843,1,2022.5.22 0:39
37952000,0.0576,1,2022.5.22 0:39
37953000,0.0003,1,2022.5.22 0:39
37954000,0.0504,1,2022.5.22 0:39
37933000,0.0306,0,2022.5.22 0:39
37931000,0.084,0,2022.5.22 0:39
37929000,0.3979,0,2022.5.22 0:39
37927000,1.8732,0,2022.5.22 0:39
37926000,0.093,0,2022.5.22 0:39
37951000,0.3592,1,2022.5.22 0:39
37952000,0.0576,1,2022.5.22 0:39
37953000,0.0238,1,2022.5.22 0:39
37954000,0.0504,1,2022.5.22 0:39
37955000,0.0003,1,2022.5.22 0:39
37933000,0.0306,0,2022.5.22 0:39
37931000,0.084,0,2022.5.22 0:39
37929000,0.3979,0,2022.5.22 0:39
37927000,1.8732,0,2022.5.22 0:39
37926000,0.093,0,2022.5.22 0:39
37951000,0.0564,1,2022.5.22 0:39
37952000,0.0576,1,2022.5.22 0:39
37953000,0.0312,1,2022.5.22 0:39
37954000,0.0504,1,2022.5.22 0:39
37955000,0.0003,1,2022.5.22 0:39
37933000,0.0324,0,2022.5.22 0:39
37931000,0.084,0,2022.5.22 0:39
37930000,0.1634,0,2022.5.22 0:39
37929000,0.3979,0,2022.5.22 0:39
37927000,1.8732,0,2022.5.22 0:39
37952000,0.0477,1,2022.5.22 0:39
37953000,0.0312,1,2022.5.22 0:39
37954000,0.0504,1,2022.5.22 0:39
37955000,0.0003,1,2022.5.22 0:39
37956000,0.0003,1,2022.5.22 0:39
37933000,0.0324,0,2022.5.22 0:39
37931000,0.1337,0,2022.5.22 0:39
37929000,0.3979,0,2022.5.22 0:39
37926000,0.03,0,2022.5.22 0:39
37923000,0.0778,0,2022.5.22 0:39
37950000,0.0562,1,2022.5.22 0:39
37951000,0.0545,1,2022.5.22 0:39
37952000,0.0477,1,2022.5.22 0:39
37953000,0.1164,1,2022.5.22 0:39
37954000,0.0504,1,2022.5.22 0:39
37933000,0.0248,0,2022.5.22 0:39
37931000,0.0497,0,2022.5.22 0:39
37929000,0.3979,0,2022.5.22 0:39
37926000,0.03,0,2022.5.22 0:39
37923000,0.0778,0,2022.5.22 0:39
37950000,0.0562,1,2022.5.22 0:39
37951000,0.0545,1,2022.5.22 0:39
37952000,0.4114,1,2022.5.22 0:39
37953000,0.1164,1,2022.5.22 0:39
37954000,0.0504,1,2022.5.22 0:39
37933000,0.0248,0,2022.5.22 0:39
